ticker,trades,avg_p_win,avg_confidence,ml_pnl,base_pnl
IDBI,2,0.99,1.58,60176.283106009956,38086.25513038605
WHEELS,1,0.99,1.58,47840.357395492254,30278.707212336867
RTNINDIA,1,0.99,1.58,38421.43278336238,24317.362521115432
SCILAL,1,0.99,1.58,35936.91307036422,22744.88169010394
PDSL,2,0.99,1.58,32805.32624051843,20762.864709188878
SIYSIL,1,0.99,1.58,29955.60212390127,18959.241850570423
SHALPAINTS,1,0.99,1.58,29843.52622582909,18888.30773786651
ALLDIGI,1,0.99,1.58,27149.44065354904,17183.190287056354
GNA,2,0.99,1.58,25786.808086949008,16320.764611993043
DELTACORP,2,0.99,1.58,25579.69837241603,16189.68251418736
MUFIN,1,0.99,1.58,23692.053574040787,14994.97061648151
IFBIND,1,0.99,1.58,22817.904516298328,14441.711719176155
ONMOBILE,2,0.99,1.58,20741.353131611548,13127.438690893383
SINDHUTRAD,1,0.99,1.58,18262.14457488286,11558.319351191682
FINOPB,2,0.99,1.58,16989.92262927132,10753.115588146406
GODREJIND,1,0.99,1.58,15562.429995377033,9849.6392375804
BANCOINDIA,1,0.99,1.58,15386.293607574506,9738.160511123104
HERANBA,1,0.99,1.58,14562.334364180868,9216.667319101814
SSWL,2,0.99,1.58,14238.11813156174,9011.46717187452
ASHAPURMIN,1,0.99,1.58,14058.276976001618,8897.643655697226
